AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,61929,RINLETS CHOCOLATE,1,1.78621E+13,0,60,20,20,25,0.01,5,500,,,DESPACHO LOCAL ARTICULO,
,61930,MANICHO BOMBON,1,1.78621E+13,0,80,15,20,10,0.003,4,1333.333,,,DESPACHO LOCAL ARTICULO,
,61931,MENTA GLACIAL CARAMELOS  MIX,1,7.86211E+13,0,128,5,40,50,0.01,2,200,,,DESPACHO LOCAL ARTICULO,
,61932,LA UNIVERSAL LECHE Y MIEL CARAMELO,1,7.86211E+13,0,150,10,30,50,0.015,5,333.333,,,DESPACHO LOCAL ARTICULO,
,61933,DR.LOOK DEDACIDO,1,1.7861E+13,0,100,23,40,60,0.0552,5,90.579,,,DESPACHO LOCAL ARTICULO,
,61934,ZAMBITO COOKIES AND CREAM,1,,0,300,40,50,40,0.08,10,125,,,DESPACHO LOCAL ARTICULO,
,61945,ANIMALIAS GALLETAS EMPACADAS,1,1.78621E+13,0,50,1,1,1,0.000001,1,1000000,,,DESPACHO LOCAL ARTICULO,
,61946,MAGICA NAVIDAD CHOCOLATE,1,1.7861E+13,0,50,30,30,50,0.045,5,111.111,,,DESPACHO LOCAL ARTICULO,
,61947,OREO GALLETA GRANEL,1,1.76222E+13,0,56,12,15,25,0.0045,2,444.444,,,DESPACHO LOCAL ARTICULO,
,61947,OREO GALLETA GRANEL,12,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61948,ICAPEB EXTRASURTIFRUTAS,1,,0,150,5,15,20,0.0015,5,3333.333,,,DESPACHO LOCAL ARTICULO,
,61949,YELLIES MARSHMALLOW TRENZA GRANEL,1,,0,100,40,40,60,0.096,5,52.083,,,DESPACHO LOCAL ARTICULO,
,61950,SALINERITO CHOCOLERITO TRUFA GRANEL,1,1.78612E+13,0,60,20,20,40,0.016,5,312.5,,,DESPACHO LOCAL ARTICULO,
,61954,ECUACOCOA CHOCOBOLITAS NAVIDENAS,1,7.8621E+12,0,300,20,20,25,0.01,3,300,,,DESPACHO LOCAL ARTICULO,
,62497,ANIMALIAS GALLETAS,1,7.86211E+13,0,30,35,35,35,,2,,,,DESPACHO LOCAL ARTICULO,
,62682,YELLIES MARSHMALLOW HELADO GRANEL,12,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62684,CONFITECA CARRITO FELIZ NAVIDAD,3,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62687,BIOS HUEVITOS CHOCOLATE,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62689,BIOS ARBOLES CHOCOLATE NAVIDAD,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,62690,HANUTA GRANEL,15,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
