CODIGOARTICULO;CODIGOCLASIFICACION
1010930;4104
1010931;4104
1010932;4104
1010934;4138
1010936;4138
1010943;1606
1010944;1606
1010946;1606
1010947;1606
1010949;1606
1010950;1606
1010952;1606
1010953;1606
1010956;1606
1010999;1606
1011024;1606
1011029;1606
1011079;1606
1011080;1606
1011081;1606
1011082;1606
1011108;1606
1011109;1606
1011146;1606
1011147;1606
1011148;1606
1011149;1606
1011151;1606
1011248;1606
1011250;1146
1011257;1146
1011331;1606
1011475;1606
1011613;1606
1011614;1606
1011615;1606
1011616;1606
1011617;1606
1011618;1606
1011673;1606
1011674;1606
1011675;1606
1011676;1606
1011677;1606
1011885;1606
1011886;1318
1011947;1606
1011949;6824
1011950;1606
1011952;1606
1011953;1606
1011955;3102
1011956;1606
1011958;1606
1011960;1606
1011961;1606
1011963;3102
1011964;1606
1011966;1606
1011967;1075
1011968;1075
1011970;1087
1011971;1087
1012000;3106
1012001;3106
1012002;1606
1012053;1704
1012054;1318
1012055;1704
1012056;1704
1012057;1016
1012058;1704
1012059;1704
1012060;1704
1012061;1704
1012062;1704
1012063;1704
1012064;1704
1012065;1704
1012066;1704
1012127;1704
1012128;1704
1012129;1606
1012130;1704
1012132;1704
1012133;1704
1012134;1704
1012135;1704
1012136;1704
1012137;1704
1012142;1704
1012143;1704
1012204;1704
1012205;1606
1012207;1606
1012209;1704
1012210;1704
1012211;1704
1012212;1606
1012213;1606
1012214;1606
1012215;1606
1012217;1606
1012218;1606
1012219;1606
1012220;1606
1012221;1606
1012222;1606
1012223;1606
1012254;1606
1012420;3106
1012421;3106
1012422;1606
1012423;1704
1012498;1704
1012499;1704
1012500;1606
1012501;1704
1012502;1704
1012503;1606
1012510;1606
1012511;1606
1012512;1606
1012513;1606
1012514;1606
1012515;1606
1012516;4162
1012517;4162
1012518;4138
1012520;1606
1012521;1606
1012527;3018
1012528;3018
1012569;3018
1012570;3018
1012828;1114
1012832;1114
1012834;1606
1012836;1606
1012904;1606
1012945;1606
1012946;1606
1012947;1606
1012948;1606
1012949;1606
1012950;1606
1012951;1606
1012954;1606
1012967;1142
1012968;1142
1012969;1142
1012970;3040
1012971;3040
1012972;1150
1012973;1150
1012974;1606
1012975;1318
1012976;1318
1012977;1606
1012978;1606
1012979;1136
1012982;1120
1013010;1606
1013011;1606
1013012;1606
1013013;4144
1013013;4144
1013014;4144
1013014;4144
1013015;1606
1013017;3040
1013018;3040
1013019;1606
1013020;1606
1013021;1606
1013022;1606
1013023;1606
1013039;1606
1013052;1606
1013053;1606
1013054;1606
1013055;1606
1013056;1606
1013057;1606
1013058;1606
1013059;1606
1013060;1606
1013061;1606
1013062;1606
1013063;1606
1013064;1606
1013065;1606
1013066;1606
1013067;1606
1013068;1606
1013069;1606
1013070;1606
1013203;1072
1013213;1072
1013216;1606
1013217;1026
1013218;1026
1013219;1048
1013220;1086
1013221;1084
1013222;1060
1013223;1086
1013224;1086
1013295;1086
1013296;1086
1013297;1086
1013298;1086
1013299;1606
1013300;1606
1013301;3040
1013302;1606
1013303;1606
1013304;1606
1013305;1606
1013306;1606
1013311;1606
1013312;1606
1013313;1062
1013314;1006
1013315;1006
1013316;1018
1013317;1086
1013455;1606
1013456;1606
1013771;1606
1013772;1606
1013773;1606
1013780;3022
1013782;1606
1013787;1606
1013788;1606
1013789;1606
1013790;1606
1013791;1606
1013792;1606
1013793;1606
1013794;1606
1013914;1606
1013958;1606
1013959;1606
1013960;1606
1013961;1606
1013962;1606
1013963;1606
1013964;1606
1013965;1606
1013966;1606
1013967;1606
1013988;1606
1013989;1606
1013990;1606
1013993;1606
1013995;1606
1014003;1606
1014004;1606
1014005;1606
1014006;1606
1014007;1606
1014008;3110
1014009;1606
1014011;1606
1014012;1606
1014028;1606
1014029;1606
1014030;1606
1014031;1606
1014032;1606
1014033;1606
1014034;4126
1014035;1606
1014036;1606
1014037;4126
1014039;1606
1014040;1606
1014045;1606
1014071;1606
1014083;1114
1014116;1606
1014181;1606
1014216;3106
1014217;3106
1014247;1606
1014253;1606
1014279;1606
1014280;1606
1014309;1606
1014315;1606
1014316;1606
1014343;1606
1014345;1606
1014346;1606
1014351;1606
1014357;1606
1014361;1606
1014372;1606
1014373;1606
1014490;1606
1014492;1124
1014494;1606
1014495;1606
1014739;1606
1014740;1606
1014741;1606
1014742;1606
1014743;1606
1014772;1704
1014773;1704
1014774;1704
1014778;1704
1014779;1016
1014786;1606
1014787;1704
1014791;1606
1014792;1704
1014797;1704
1014799;1704
1014801;1008
1014804;1606
1014805;1704
1014808;1606
1014809;1704
1014810;1704
1014811;1704
1014813;1704
1014814;1606
1014816;1606
1014818;1704
1014820;1704
1014822;1704
1014823;1704
1014824;1704
1014825;1704
1014826;1704
1014828;1026
1014829;1704
1014830;1704
1014836;1704
1014837;3040
1014838;1704
1014839;1606
1014840;1026
1014841;1704
1014842;1704
1014843;1704
1014844;1704
1014845;1704
1014846;1026
1014847;1704
1014848;1026
1014849;1606
1014850;1606
1014851;1606
1014852;1606
1014853;1606
1014854;1606
1014855;1606
1014856;1606
1014857;1606
1014858;1606
1014859;1606
1014861;1606
1014862;1024
1014863;1024
1014864;1024
1014866;1024
1014868;1024
1014875;1606
1014881;1084
1014889;1606
1014890;1606
1014891;1606
1014892;1606
1014893;3040
1014894;3040
1014895;1026
1014896;1026
1014897;3034
1014898;1026
1014909;1606
1014911;1606
1014919;1606
1014920;1606
1014921;1606
1015062;1606
1015063;1606
1015064;1606
1015065;1062
1015066;1606
1015076;1328
1015077;1606
1015078;1606
1015079;1606
1015080;1606
1015081;1150
1015082;1150
1015083;1606
1015084;1150
1015085;1606
1015086;1150
1015087;1150
1015088;1606
1015089;1606
1015090;1606
1015091;1316
1015092;1330
1015094;1330
1015095;1330
1015099;1330
1015102;1330
1015105;1338
1015106;1326
1015107;3046
1015108;3046
1015109;1606
1015110;3046
1015112;1328
1015113;1328
1015114;1606
1015115;1314
1015116;1334
1015117;1606
1015118;1606
1015119;1606
1015120;1606
1015247;1606
1015248;1606
1015249;1606
1015250;1606
1015251;1606
1015252;1606
1015253;1606
1015342;1006
1015343;1068
1015344;1606
1015345;3046
1015346;1606
1015347;1606
1015348;1606
1015349;3046
1015349;3046
1015350;1040
1015351;3046
1015352;3046
1015353;3046
1015354;3018
1015355;3046
1015356;3046
1015356;3046
1015357;1040
1015358;1606
1015359;1606
1015360;1606
1015361;1606
1015362;1040
1015363;1606
1015364;1606
1015365;1314
1015366;1606
1015384;1092
1015385;1606
1015386;1606
1015409;1606
1015410;1606
1015411;1606
1015413;1606
1015415;1606
1015416;1606
1015417;1606
1015519;1606
1015520;1606
1015522;1606
1015529;1606
1015531;1606
1015543;1606
1015544;1606
1015566;1114
1015583;1606
1015584;1606
1015585;1606
1015586;1606
1015587;1606
1015639;1606
1015640;1606
1015687;1606
1015688;1606
1015689;1606
1015718;1606
1015722;1606
1015723;1606
1015724;1606
1015734;1606
1015735;1606
1015767;1606
1015768;1606
1015823;1606
1015824;1606
1015825;3010
1015826;1606
1015828;1606
1015829;1606
1015830;1606
1015831;1606
1015833;1606
1015834;1606
1015837;1606
1015838;1606
1015839;1606
1015840;1606
1015841;1606
1015842;1606
1015843;1606
1015844;1606
1015845;1606
1015846;1606
1015847;1606
1015848;1606
1015849;1606
1015850;1606
1015851;1606
1015852;1606
1015853;1606
1015854;1606
1015855;1606
1015856;1606
1015857;1606
1015859;3020
1015861;3020
1015864;3020
1015866;3020
1015867;3020
1015871;3020
1015874;3020
1015886;1606
1015900;1606
1016026;6824
1016027;1606
1016028;1606
1016029;1606
1016030;1606
1016031;1606
1016032;1606
1016033;1606
1016034;1606
1016035;1606
1016036;1606
1016037;1704
1016038;1704
1016039;1606
1016040;1606
1016041;1606
1016042;1606
1016043;1606
1016044;1606
1016072;1606
1016074;1606
1016075;1606
1016076;1606
1016077;1606
1016078;1606
1016079;1704
1016095;1606
1016096;1704
1016097;1704
1016098;1704
1016099;1704
1016100;1704
1016102;1704
1016104;1704
1016105;1704
1016107;1704
1016108;1704
1016109;1704
1016110;1704
1016111;1704
1016112;1704
1016113;1704
1016114;1704
1016115;1606
1016116;1704
1016117;1704
1016118;1704
1016119;1704
1016120;1704
1016121;1704
1016162;1704
1016163;1704
1016164;1606
1016165;1606
1016166;1030
1016167;1704
1016168;1704
1016169;1704
1016170;1704
1016171;1606
1016185;1606
1016186;1606
1016236;3014
1016237;3014
1016239;3014
1016241;3014
1016250;1606
1016252;1606
1016253;1606
1016298;1606
1016299;1606
1016300;1606
1016301;1606
1016302;1606
1016303;1606
1016402;1606
1016404;1606
1016466;1606
1016484;1606
1016502;1606
1016504;1606
1016506;1606
1016507;1606
1016518;1606
1016519;1606
1016520;1704
1016521;1704
1016522;1606
1016528;1606
1016529;1606
1016530;1606
1016531;1606
1016532;1030
1016538;1606
1016539;1606
1016540;1606
1016541;1030
1016542;1030
1016543;1606
1016544;1030
1016545;1606
1016546;1606
1016547;1606
1016548;1606
1016561;1606
1016563;1606
1016564;1606
1016565;1606
1016566;1606
1016567;1606
1016568;1606
1016569;1606
1016570;1606
1016703;1606
1016716;1606
1016717;1606
1016718;1606
1016719;1606
1016721;3110
1016722;3030
1016723;3030
1016724;1606
1016725;1606
1016726;1606
1016727;1606
1016728;1606
1016729;1606
1016730;1606
1016731;1606
1016732;1606
1016733;1606
1016734;1606
1016735;1606
